Time	Node	Interface	Type	Packets	Kilobytes	PacketsRaw	KilobytesRaw
2.8	router4	combined	Drop	0	0	0	0
2.9	consumer0	combined	Drop	0	0	0	0
2.9	consumer1	combined	Drop	0	0	0	0
2.9	router2	combined	Drop	0	0	0	0
2.9	router3	combined	Drop	0	0	0	0
2.9	router4	combined	Drop	0	0	0	0
3	consumer0	combined	Drop	0	0	0	0
3	consumer1	combined	Drop	0	0	0	0
3	router2	combined	Drop	0	0	0	0
3	router3	combined	Drop	0	0	0	0
3	router4	combined	Drop	0	0	0	0
3.1	consumer0	combined	Drop	0	0	0	0
3.1	consumer1	combined	Drop	0	0	0	0
3.1	router2	combined	Drop	0	0	0	0
3.1	router3	combined	Drop	0	0	0	0
3.1	router4	combined	Drop	0	0	0	0
3.2	consumer0	combined	Drop	0	0	0	0
3.2	consumer1	combined	Drop	0	0	0	0
3.2	router2	combined	Drop	0	0	0	0
3.2	router3	combined	Drop	0	0	0	0
3.2	router4	combined	Drop	0	0	0	0
3.3	consumer0	combined	Drop	0	0	0	0
3.3	consumer1	combined	Drop	0	0	0	0
3.3	router2	combined	Drop	0	0	0	0
3.3	router3	combined	Drop	0	0	0	0
3.3	router4	combined	Drop	0	0	0	0
3.4	consumer0	combined	Drop	0	0	0	0
3.4	consumer1	combined	Drop	0	0	0	0
3.4	router2	combined	Drop	0	0	0	0
3.4	router3	combined	Drop	0	0	0	0
3.4	router4	combined	Drop	0	0	0	0
3.5	consumer0	combined	Drop	0	0	0	0
3.5	consumer1	combined	Drop	0	0	0	0
3.5	router2	combined	Drop	0	0	0	0
3.5	router3	combined	Drop	0	0	0	0
3.5	router4	combined	Drop	0	0	0	0
3.6	consumer0	combined	Drop	0	0	0	0
3.6	consumer1	combined	Drop	0	0	0	0
3.6	router2	combined	Drop	0	0	0	0
3.6	router3	combined	Drop	0	0	0	0
3.6	router4	combined	Drop	0	0	0	0
3.7	consumer0	combined	Drop	0	0	0	0
3.7	consumer1	combined	Drop	0	0	0	0
3.7	router2	combined	Drop	0	0	0	0
3.7	router3	combined	Drop	0	0	0	0
3.7	router4	combined	Drop	0	0	0	0
3.8	consumer0	combined	Drop	0	0	0	0
3.8	consumer1	combined	Drop	0	0	0	0
3.8	router2	combined	Drop	0	0	0	0
3.8	router3	combined	Drop	0	0	0	0
3.8	router4	combined	Drop	0	0	0	0
3.9	consumer0	combined	Drop	0	0	0	0
3.9	consumer1	combined	Drop	0	0	0	0
3.9	router2	combined	Drop	0	0	0	0
3.9	router3	combined	Drop	0	0	0	0
3.9	router4	combined	Drop	0	0	0	0
4	consumer0	combined	Drop	0	0	0	0
4	consumer1	combined	Drop	0	0	0	0
4	router2	combined	Drop	0	0	0	0
4	router3	combined	Drop	0	0	0	0
4	router4	combined	Drop	0	0	0	0
4.1	consumer0	combined	Drop	0	0	0	0
4.1	consumer1	combined	Drop	0	0	0	0
4.1	router2	combined	Drop	0	0	0	0
4.1	router3	combined	Drop	0	0	0	0
4.1	router4	combined	Drop	0	0	0	0
4.2	consumer0	combined	Drop	0	0	0	0
4.2	consumer1	combined	Drop	0	0	0	0
4.2	router2	combined	Drop	0	0	0	0
4.2	router3	combined	Drop	0	0	0	0
4.2	router4	combined	Drop	0	0	0	0
4.3	consumer0	combined	Drop	0	0	0	0
4.3	consumer1	combined	Drop	0	0	0	0
4.3	router2	combined	Drop	0	0	0	0
4.3	router3	combined	Drop	0	0	0	0
4.3	router4	combined	Drop	0	0	0	0
4.4	consumer0	combined	Drop	0	0	0	0
4.4	consumer1	combined	Drop	0	0	0	0
4.4	router2	combined	Drop	0	0	0	0
4.4	router3	combined	Drop	0	0	0	0
4.4	router4	combined	Drop	0	0	0	0
4.5	consumer0	combined	Drop	0	0	0	0
4.5	consumer1	combined	Drop	0	0	0	0
4.5	router2	combined	Drop	0	0	0	0
4.5	router3	combined	Drop	0	0	0	0
4.5	router4	combined	Drop	0	0	0	0
4.6	consumer0	combined	Drop	0	0	0	0
4.6	consumer1	combined	Drop	0	0	0	0
4.6	router2	combined	Drop	0	0	0	0
4.6	router3	combined	Drop	0	0	0	0
4.6	router4	combined	Drop	0	0	0	0
4.7	consumer0	combined	Drop	0	0	0	0
4.7	consumer1	combined	Drop	0	0	0	0
4.7	router2	combined	Drop	0	0	0	0
4.7	router3	combined	Drop	0	0	0	0
4.7	router4	combined	Drop	0	0	0	0
4.8	consumer0	combined	Drop	0	0	0	0
4.8	consumer1	combined	Drop	0	0	0	0
4.8	router2	combined	Drop	0	0	0	0
4.8	router3	combined	Drop	0	0	0	0
4.8	router4	combined	Drop	0	0	0	0
4.9	consumer0	combined	Drop	0	0	0	0
4.9	consumer1	combined	Drop	0	0	0	0
4.9	router2	combined	Drop	0	0	0	0
4.9	router3	combined	Drop	0	0	0	0
4.9	router4	combined	Drop	0	0	0	0
5	consumer0	combined	Drop	0	0	0	0
5	consumer1	combined	Drop	0	0	0	0
5	router2	combined	Drop	0	0	0	0
5	router3	combined	Drop	0	0	0	0
5	router4	combined	Drop	0	0	0	0
5.1	consumer0	combined	Drop	0	0	0	0
5.1	consumer1	combined	Drop	0	0	0	0
5.1	router2	combined	Drop	0	0	0	0
5.1	router3	combined	Drop	0	0	0	0
5.1	router4	combined	Drop	0	0	0	0
5.2	consumer0	combined	Drop	0	0	0	0
5.2	consumer1	combined	Drop	0	0	0	0
5.2	router2	combined	Drop	0	0	0	0
5.2	router3	combined	Drop	0	0	0	0
5.2	router4	combined	Drop	0	0	0	0
5.3	consumer0	combined	Drop	0	0	0	0
5.3	consumer1	combined	Drop	0	0	0	0
5.3	router2	combined	Drop	0	0	0	0
5.3	router3	combined	Drop	0	0	0	0
5.3	router4	combined	Drop	0	0	0	0
5.4	consumer0	combined	Drop	0	0	0	0
5.4	consumer1	combined	Drop	0	0	0	0
5.4	router2	combined	Drop	0	0	0	0
5.4	router3	combined	Drop	0	0	0	0
5.4	router4	combined	Drop	0	0	0	0
5.5	consumer0	combined	Drop	0	0	0	0
5.5	consumer1	combined	Drop	0	0	0	0
5.5	router2	combined	Drop	0	0	0	0
5.5	router3	combined	Drop	0	0	0	0
5.5	router4	combined	Drop	0	0	0	0
5.6	consumer0	combined	Drop	0	0	0	0
5.6	consumer1	combined	Drop	0	0	0	0
5.6	router2	combined	Drop	0	0	0	0
5.6	router3	combined	Drop	0	0	0	0
5.6	router4	combined	Drop	0	0	0	0
5.7	consumer0	combined	Drop	0	0	0	0
5.7	consumer1	combined	Drop	0	0	0	0
5.7	router2	combined	Drop	0	0	0	0
5.7	router3	combined	Drop	0	0	0	0
5.7	router4	combined	Drop	0	0	0	0
5.8	consumer0	combined	Drop	0	0	0	0
5.8	consumer1	combined	Drop	0	0	0	0
5.8	router2	combined	Drop	0	0	0	0
5.8	router3	combined	Drop	0	0	0	0
5.8	router4	combined	Drop	0	0	0	0
5.9	consumer0	combined	Drop	0	0	0	0
5.9	consumer1	combined	Drop	0	0	0	0
5.9	router2	combined	Drop	0	0	0	0
5.9	router3	combined	Drop	0	0	0	0
5.9	router4	combined	Drop	0	0	0	0
6	consumer0	combined	Drop	0	0	0	0
6	consumer1	combined	Drop	0	0	0	0
6	router2	combined	Drop	0	0	0	0
6	router3	combined	Drop	0	0	0	0
6	router4	combined	Drop	0	0	0	0
6.1	consumer0	combined	Drop	0	0	0	0
6.1	consumer1	combined	Drop	0	0	0	0
6.1	router2	combined	Drop	0	0	0	0
6.1	router3	combined	Drop	0	0	0	0
6.1	router4	combined	Drop	0	0	0	0
6.2	consumer0	combined	Drop	0	0	0	0
6.2	consumer1	combined	Drop	0	0	0	0
6.2	router2	combined	Drop	0	0	0	0
6.2	router3	combined	Drop	0	0	0	0
6.2	router4	combined	Drop	0	0	0	0
6.3	consumer0	combined	Drop	0	0	0	0
6.3	consumer1	combined	Drop	0	0	0	0
6.3	router2	combined	Drop	0	0	0	0
6.3	router3	combined	Drop	0	0	0	0
6.3	router4	combined	Drop	0	0	0	0
6.4	consumer0	combined	Drop	0	0	0	0
